Data,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Resultado,Alvo,Total_Gols,Media_Gols_Mandante,Media_Gols_Visitante
2012-07-01,Gremio,Atletico-MG,0.0,1.0,A,2.0,1.0,1.1666666666666667,1.5
2012-07-01,Coritiba,Sport Recife,2.0,3.0,A,2.0,5.0,1.6666666666666667,0.6666666666666666
2012-07-01,Bahia,Internacional,1.0,1.0,D,0.0,2.0,0.8333333333333334,1.5
2012-07-01,Portuguesa,Santos,0.0,0.0,D,0.0,0.0,0.8333333333333334,0.5
2012-07-07,Botafogo RJ,Bahia,3.0,0.0,H,1.0,3.0,2.3333333333333335,0.8571428571428571
2012-07-07,Internacional,Cruzeiro,2.0,1.0,H,1.0,3.0,1.4285714285714286,1.4285714285714286
2012-07-08,Sport Recife,Corinthians,1.0,1.0,D,0.0,2.0,1.0,0.5
2012-07-08,Atletico GO,Nautico,0.0,1.0,A,2.0,1.0,0.5714285714285714,1.1428571428571428
2012-07-08,Figueirense,Vasco,1.0,1.0,D,0.0,2.0,1.0,2.0
2012-07-08,Fluminense,Flamengo RJ,1.0,0.0,H,1.0,1.0,2.0,1.8571428571428572
2012-07-08,Santos,Gremio,4.0,2.0,H,1.0,6.0,0.42857142857142855,1.0
2012-07-08,Sao Paulo,Coritiba,3.0,1.0,H,1.0,4.0,1.1428571428571428,1.7142857142857142
2012-07-08,Atletico-MG,Portuguesa,2.0,0.0,H,1.0,2.0,1.4285714285714286,0.7142857142857143
2012-07-08,Ponte Preta,Palmeiras,1.0,0.0,H,1.0,1.0,1.1428571428571428,1.0
2012-07-11,Corinthians,Botafogo RJ,1.0,3.0,A,2.0,4.0,0.5714285714285714,2.4285714285714284
2012-07-14,Figueirense,Atletico-MG,3.0,4.0,A,2.0,7.0,1.0,1.5
2012-07-14,Corinthians,Nautico,2.0,1.0,H,1.0,3.0,0.625,1.125
2012-07-15,Ponte Preta,Coritiba,4.0,1.0,H,1.0,5.0,1.125,1.625
2012-07-15,Bahia,Flamengo RJ,1.0,2.0,A,2.0,3.0,0.75,1.625
2012-07-15,Botafogo RJ,Fluminense,1.0,1.0,D,0.0,2.0,2.5,1.875
2012-07-15,Cruzeiro,Gremio,1.0,3.0,A,2.0,4.0,1.375,1.125
2012-07-15,Internacional,Santos,0.0,0.0,D,0.0,0.0,1.5,0.875
2012-07-15,Palmeiras,Sao Paulo,1.0,1.0,D,0.0,2.0,0.875,1.375
